Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
05/01/2010,15/12/2011,11s,5000000,14.47,0,0
05/01/2010,12/10/2012,12s,7500000,15,0,0
06/01/2010,12/10/2012,12s,180000,15,0,0
06/01/2010,15/12/2011,11s,100000,14.47,0,0
18/01/2010,14/01/2013,13s,7000000,19,0,0
19/01/2010,14/01/2013,13s,700000,19,0,0
19/01/2010,15/12/2011,11s,4000000,14.47,0,0
21/01/2010,14/01/2013,13s,2980000,19,0,0
22/01/2010,14/01/2013,13s,20000,19,0,0
26/01/2010,14/01/2013,13s,1000000,19,0,0
27/01/2010,05/02/2011,11s,2250000,16,0,0
28/01/2010,14/01/2013,13s,4000000,19,0,0
01/02/2010,06/07/2010,10s,2000000,12.08,0,0
04/02/2010,14/01/2013,13s,5000000,19,0,0
05/02/2010,14/01/2013,13s,5000000,19,0,0
09/02/2010,14/01/2013,13s,5000000,19,0,0
11/02/2010,12/10/2012,12s,1000000,15,0,0
15/02/2010,05/02/2011,11s,10000000,16,0,0
16/02/2010,05/10/2010,10s,25000000,12.39,0,0
18/02/2010,05/10/2010,10s,25000000,12.39,0,0
19/02/2010,05/10/2010,10s,14000000,12.39,0,0
19/02/2010,03/07/2011,11s,5000000,14,0,0
25/02/2010,14/01/2013,13s,3000000,19,0,0
25/02/2010,03/07/2011,11s,5000000,14,0,0
26/02/2010,06/11/2012,12s,7000000,13.67,0,0
01/03/2010,06/11/2012,12s,1850000,13.67,0,0
02/03/2010,06/11/2012,12s,12000000,13.67,0,0
03/03/2010,14/01/2013,13s,2800000,19,0,0
05/03/2010,06/11/2012,12s,10000000,13.67,0,0
11/03/2010,12/10/2012,12s,481500,15,0,0
12/03/2010,05/10/2010,10s,6000000,12.39,0,0
15/03/2010,03/11/2013,13s,14000000,14.99,0,0
23/03/2010,14/01/2013,13s,12000000,19,0,0
25/03/2010,03/11/2013,13s,5000000,14.99,0,0
26/03/2010,03/11/2013,13s,7000000,14.99,0,0
31/03/2010,13/12/2010,10s,4900000,13.95,0,0
01/04/2010,14/01/2013,13s,5000000,19,0,0
06/04/2010,15/12/2011,11s,2500000,14.47,0,0
07/04/2010,05/10/2010,10s,10000000,12.39,0,0
08/04/2010,15/12/2011,11s,5000000,14.47,0,0
09/04/2010,15/12/2011,11s,6545000,14.47,0,0
09/04/2010,05/02/2011,11s,1900000,16,0,0
09/04/2010,14/01/2013,13s,18400000,19,0,0
12/04/2010,15/12/2011,11s,4045000,14.47,0,0
12/04/2010,14/01/2013,13s,9200000,19,0,0
14/04/2010,14/01/2013,13s,10500000,19,0,0
15/04/2010,05/10/2010,10s,1343185,12.39,0,0
15/04/2010,15/12/2011,11s,1280000,14.47,0,0
16/04/2010,12/10/2012,12s,22000000,15,0,0
16/04/2010,15/12/2011,11s,11520000,14.47,0,0
16/04/2010,03/11/2013,13s,10000000,14.99,0,0
19/04/2010,12/10/2012,12s,6000000,15,0,0
20/04/2010,14/01/2013,13s,500000,19,0,0
20/04/2010,15/12/2011,11s,4000000,14.47,0,0
22/04/2010,05/10/2010,10s,5000000,12.39,0,0
23/04/2010,14/01/2013,13s,1000000,19,0,0
28/04/2010,12/10/2012,12s,10000000,15,0,0
06/05/2010,05/10/2010,10s,3665,12.39,0,0
06/05/2010,14/01/2013,13s,5000000,19,0,0
07/05/2010,03/11/2013,13s,9000000,14.99,0,0
11/05/2010,15/12/2011,11s,100000,14.47,0,0
12/05/2010,14/01/2013,13s,2800000,19,0,0
17/05/2010,06/11/2012,12s,3700000,13.67,0,0
21/05/2010,03/11/2013,13s,10000000,14.99,0,0
24/05/2010,15/12/2011,11s,6545000,14.47,0,0
26/05/2010,05/02/2011,11s,1000000,16,0,0
26/05/2010,03/11/2013,13s,14372000,14.99,0,0
27/05/2010,15/12/2011,11s,5000000,14.47,0,0
31/05/2010,03/07/2011,11s,4820000,14,0,0
31/05/2010,15/12/2011,11s,2500000,14.47,0,0
02/06/2010,15/12/2011,11s,2500000,14.47,0,0
07/06/2010,03/07/2011,11s,20000,14,0,0
08/06/2010,03/07/2011,11s,40000,14,0,0
10/06/2010,12/10/2012,12s,5000000,15,0,0
