Date,Institution,91D,182D,364D,2Yr,3Yr,5Yr,6Yr,7Yr,10Yr,15Yr,20Yr,7Yr ESLA,10Yr ESLA,12Yr ESLA,Total
01/01/2019,BoG,26308467,12746232,,123053912,129350000,170000000,,178000000,7432837,,,82038843,,,728930291
01/01/2019,Commercial Banks,221895311,922250580,31623374,8299225941,2916717520,1420451263,,220794375,409386770,7067266,,1141378461,1228510394,,16819301255
01/01/2019,Firms/Inst,1318785521,1098039718,3217726,2842412229,2766123317,1721692681,,464169856,1214261379,361402222,,660728692,923012346,,13373845687
01/01/2019,Insurance companies,16378079,87865999,,89965343,92145349,71341745,,53829500,44134532,,,34054100,50382317,,540096964
01/01/2019,Foreign investors,216952,290086,,1028812201,4249039187,8656459958,,1686648000,5508211318,4184920000,,51382242,,,25365979944
01/01/2019,rural banks,258629830,126718272,5691521,19737694,2747052,,,,,,,,5186243,,418710612
01/01/2019,SSNIT,92196,343954,,121230988,31616550,5494000,,5000000,,,,183899285,120060000,,467736973
01/01/2019,Pension,,23373,,400818019,371101473,492686367,,218530579,666614177,238537634,,132656190,302495999,,2823463811
01/01/2019,others,3916155602,777018956,2889959,496312129,385553767,123535112,,30415918,11126622,1853839,,122488187,626447164,,6493797255
01/01/2019,Total,5758461958,3025297170,43422580,13421568456,10944394215,12661661126,0,2857388228,7861167635,4793780961,0,2408626000,3256094463,,67031862792
01/02/2019,BoG,7212012,12247506,,123592912,135220000,170250000,10000,178000000,7432837,,,62028843,,,695994110
01/02/2019,Commercial Banks,595649216,907189469,183495061,8791771632,3000393617,1437577855,149780729,211671814,397882729,6945266,,1234471363,1220778169,,18137606920
01/02/2019,Firms/Inst,1136514452,1116015449,140171510,3036684923,2777494675,1773139762,83390684,475619856,1280725322,363072222,,597178327,948443331,,13728450513
01/02/2019,Insurance companies,11531270,85247184,1000000,87883421,92145349,71341745,3700000,53829500,52236532,,,34054100,50382317,,543351418
01/02/2019,Foreign investors,255367,277450,,978632154,4143119187,8556941958,90462569,1678648000,5436711318,4183250000,,51382242,,,25119680245
01/02/2019,rural banks,271257162,130534845,7085758,34367215,6355160,,,,,,,,4092963,,453693103
01/02/2019,SSNIT,94725,343954,,96120988,9210550,2000000,,8000000,,,,172168285,130097809,,418036311
01/02/2019,Pension,401996,,235294,403454293,370869583,511189647,35823113,218530579,669768355,238537634,,133795801,272879198,,2855485493
01/02/2019,others,4072709426,803567300,18299210,605173771,409586094,139220159,7141335,33088479,16410542,1975839,,123547039,629420676,,6860139870
01/02/2019,Total,6095625626,3055423157,350286833,14157681309,10944394215,12661661126,370308430,2857388228,7861167635,4793780961,0,2408626000,3256094463,,68812437983
01/03/2019,BoG,2583847,11713416,10021200,118610659,138332000,191250000,10000,183000000,7432837,3000000,,177198843,,,843152802
