Trade Date,ISIN,Securities, Bids (Amt) Tendered GHS(M) , Bids (Amt) Accepted Ghs(M) ,Range Of Bid Rates (% P.A.), Discount Rate (%) , Interest Rate (%)
05/01/2018,GHGGOG047887,91D,132.21,132.21,12.6000-13.0000,12.9,13.33
05/01/2018,GHGGOG047895,182D,64.43,64.43,12.6000-13.1000,12.97,13.87
12/01/2018,GHGGOG047895,182D,66.67,66.67,12.6000-13.1000,12.99,13.89
05/01/2018,GHGGOG047903,2 YR,233.12,233.12,15.0000-17.1800,,17.18
12/01/2018,GHGGOG047945,91D,498.39,497.89,12.6000-15.0000,12.93,13.37
19/01/2018,GHGGOG048026,91D,473.07,472.57,12.6000-14.0000,12.89,13.32
19/01/2018,GHGGOG048034,182D,322.18,322.18,12.6000-13.1000,12.93,13.82
26/01/2018,GHGGOG048117,91D,417.93,417.93,12.6000-13.0000,12.92,13.35
26/01/2018,GHGGOG048125,182D,172.44,172.44,12.9000-13.1000,13.01,13.91
02/02/2018,GHGGOG048216,91D,157.81,157.81,12.7000-13.0000,12.89,13.32
02/02/2018,GHGGOG048224,182D,81.12,81.12,12.7000-13.1000,12.99,13.89
02/02/2018,GHGGOG048240,1 YR,250.27,250.27,14.0000- 15.0000,,15
09/02/2018,GHGGOG048331,5 YR,"2,010.53","1,990.19",14.9900-17.5000,,16.5
09/02/2018,GHGGOG048349,91D,415.42,415.42,12.7000-13.0000,12.93,13.37
09/02/2018,GHGGOG048356,182D,67.79,67.29,12.7000-15.0000,13,13.91
16/02/2018,GHGGOG048422,91D,447.15,447.15,12.1000-13.1000,12.91,13.34
16/02/2018,GHGGOG048430,182D,92.69,92.69,12.2000-13.1000,12.99,13.89
16/02/2018,GHGGOG048448,2 YR,497.97,485.92,14.5000-17.0000,,16.5
23/02/2018,GHGGOG048521,91D,473.07,473.07,12.7000-13.0000,12.92,13.35
23/02/2018,GHGGOG048539,182D,56.27,56.27,12.7000-13.1000,12.99,13.9
02/03/2018,GHGGOG048620,91D,551.98,551.98,12.7000-13.0000,12.94,13.37
02/03/2018,GHGGOG048638,182D,105.41,105.41,12.7000-13.1000,12.99,13.89
02/03/2018,GHGGOG048646,1 YR,67.76,67.76,14.0000-15.0000,,15
09/03/2018,GHGGOG048729,91D,356.61,356.61,12.7000-13.0000,12.92,13.35
09/03/2018,GHGGOG048745,182D,70.34,70.34,12.7000-13.1000,12.98,13.88
16/03/2018,GHGGOG048828,91D,425.59,419.13,12.7000-13.8000,12.91,13.34
16/03/2018,GHGGOG048836,182D,43.95,43.95,12.7000-13.1000,13.01,13.91
16/03/2018,GHGGOG048844,2 YR,446.94,446.94,14.5000-16.5000,,16.5
23/03/2018,GHGGOG048935,3 YR,"1,575.97","1,575.97",15.5000-16.5000,,16.5
23/03/2018,GHGGOG048943,91D,389.29,389.29,12.7000-13.0000,12.93,13.36
23/03/2018,GHGGOG048950,182D,58.09,58.09,12.7000-13.1000,13.01,13.9
23/03/2018,GHGGOG048968,1 YR,11.74,11.74,14.0000-15.0000,,15
29/03/2018,GHGGOG049065,91D,250.81,250.81,12.7000-13.0000,12.89,13.31
29/03/2018,GHGGOG049073,182D,170.26,170.26,12.7000-13.1000,12.98,13.88
29/03/2018,GHGGOG049081,1 YR,24.47,24.47,13.5000-15.0000,,15
06/04/2018,GHGGOG049164,91D,123.36,123.36,12.7000-13.0000,12.9,13.33
06/04/2018,GHGGOG049172,182D,99.71,99.71,12.7000-13.1000,12.99,13.89
13/04/2018,GHGGOG049263,7 YR,824.89,809.89,15.7500-16.5000,,16.25
13/04/2018,GHGGOG049271,91D,468.25,468.25,12.7000-13.0000,12.93,13.36
13/04/2018,GHGGOG049289,182D,66.88,64.99,12.7000-13.1000,12.97,13.87
13/04/2018,GHGGOG049297,1 YR,23.39,23.39,13.0000-15.0000,,15
20/04/2018,GHGGOG049420,182D,70.89,63.9,12.9000-13.1000,12.99,13.89
20/04/2018,GHGGOG049438,91D,487.5,487.5,12.6000-13.0000,12.9,13.33
27/04/2018,GHGGOG049529,91D,353.68,353.68,12.7000-13.0000,12.93,13.36
27/04/2018,GHGGOG049537,182D,309.91,309.91,12.7000-13.0000,12.96,13.86
27/04/2018,GHGGOG049545,1 YR,192.05,192.05,14.0000-15.0000,,15
04/05/2018,GHGGOG049628,91D,178.98,178.98,12.7000-13.0000,12.9,13.33
04/05/2018,GHGGOG049636,182D,54.49,309.91,12.7000-13.0000,12.94,13.84
11/05/2018,GHGGOG049768,2 YR,626.98,626.98,15.5000-16.0000,,16
11/05/2018,GHGGOG049776,91D,446.22,446.22,12.7000-13.0000,12.95,13.38
11/05/2018,GHGGOG049784,182D,78.08,78.08,12.7000-13.0000,12.96,13.86
18/05/2018,GHGGOG049875,3 YR,749.9,749.2,15.7500-16.2500,,16.25
18/05/2018,GHGGOG049883,91D,508.23,508.23,12.7000-13.0000,12.92,13.35
18/05/2018,GHGGOG049891,182D,68.63,68.63,12.7000-13.0000,12.93,13.83
18/05/2018,GHGGOG049909,1 YR,52.71,52.71,14.5000-15.0000,,15
24/05/2018,GHGGOG050022,91D,422.2,391.5,12.8000-13.0000,12.91,13.34
24/05/2018,GHGGOG050030,182D,204.48,204.48,12.9000-13.0000,12.97,13.87
01/06/2018,GHGGOG050139,91D,566.18,566.18,12.7000-12.9500,12.81,13.24
01/06/2018,GHGGOG050147,182D,77.94,77.94,12.9000-13.0000,12.95,13.85
01/06/2018,GHGGOG050154,1 YR,74.37,74.37,14.0000-15.0000,,15
08/06/2018,GHGGOG050246,10 YR,523.2,477.6,17.3500-17.7500,,17.5
08/06/2018,GHGGOG050253,91D,377.49,377.49,12.8000-12.9500,12.88,13.3
