Date/tenure,19s,20s,21s,22s,23s,24s,25s,26s,27s,28s,29s,31s,32s,33s,34s,39s,,,,,,,,,,,,,,,,,,,,,,,
01/03/2019,17.52%,18.92%,19.40%,19.44%,19.26%,19.90%,20.57%,20.69%,,20.80%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,"223,013,488.00"
04/03/2019,17.57%,18.83%,19.17%,19.44%,19.26%,19.90%,20.54%,20.23%,,20.25%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2019,17.96%,18.93%,19.69%,19.44%,19.26%,19.90%,20.41%,21.24%,,20.75%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2019,18.70%,19.27%,18.94%,18.27%,20.71%,19.73%,19.83%,20.68%,,20.75%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2019,18.06%,19.01%,19.57%,19.60%,19.70%,20.71%,19.20%,20.55%,,20.75%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2019,18.35%,18.65%,19.80%,19.60%,20.35%,20.15%,20.52%,20.63%,,20.75%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2019,18.35%,19.52%,19.69%,19.60%,19.92%,20.15%,20.56%,20.54%,,20.75%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2019,18.36%,19.45%,19.16%,20.43%,19.50%,20.20%,20.72%,20.79%,,20.70%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2019,18.36%,19.45%,19.16%,20.43%,19.50%,20.20%,20.72%,20.79%,,20.70%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2019,17.69%,18.83%,20.10%,20.27%,19.50%,20.10%,20.55%,20.33%,,20.80%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2019,17.56%,18.37%,19.44%,20.40%,19.26%,20.30%,20.47%,20.50%,,20.10%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2019,17.56%,18.34%,19.60%,19.78%,20.43%,20.05%,20.90%,20.50%,,20.10%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2019,17.81%,18.66%,19.51%,19.85%,20.23%,20.00%,20.60%,20.42%,,19.85%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2019,17.29%,18.50%,19.26%,19.45%,19.51%,20.03%,20.22%,20.23%,,20.25%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2019,17.30%,18.11%,19.53%,19.21%,19.51%,19.40%,19.66%,20.02%,,20.25%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2019,17.61%,18.38%,19.35%,19.42%,19.21%,19.31%,20.02%,19.75%,,20.19%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2019,18.35%,18.65%,18.98%,19.29%,18.96%,19.33%,19.43%,19.39%,,20.10%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2019,17.96%,17.51%,19.40%,19.40%,18.97%,19.56%,19.88%,19.09%,,19.84%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2019,17.96%,18.86%,18.58%,19.27%,18.93%,19.67%,19.47%,19.05%,,19.84%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2019,17.57%,18.44%,19.07%,19.24%,18.53%,19.48%,19.10%,19.25%,,19.84%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2019,17.10%,18.76%,19.31%,19.26%,19.76%,20.05%,19.53%,19.25%,,19.84%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2019,17.60%,18.55%,19.65%,19.29%,19.05%,19.72%,19.09%,18.99%,,19.84%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2019,17.83%,18.82%,19.12%,19.40%,19.00%,19.47%,19.65%,19.01%,,17.48%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2019,17.47%,18.80%,19.29%,19.26%,19.00%,19.12%,19.65%,18.91%,,19.60%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2019,17.02%,18.95%,18.39%,19.22%,19.00%,19.12%,19.65%,18.91%,,19.52%,0.00%,0.00%,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2019,17.02%,18.73%,18.97%,19.37%,19.20%,19.12%,19.65%,19.80%,,19.40%,0.00%,0.00%,21.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2019,17.50%,18.09%,18.69%,18.90%,19.20%,19.12%,19.65%,19.80%,,19.40%,0.00%,0.00%,20.75%,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2019,16.56%,18.16%,19.30%,19.03%,19.20%,19.12%,20.29%,19.75%,,19.40%,0.00%,0.00%,20.90%,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2019,16.22%,17.91%,17.43%,19.06%,19.20%,19.12%,19.13%,19.00%,,19.40%,0.00%,0.00%,20.42%,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2019,17.06%,19.57%,18.98%,19.33%,19.20%,19.12%,20.09%,19.39%,,19.50%,0.00%,0.00%,20.41%,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2019,16.59%,18.79%,19.28%,19.43%,19.20%,19.80%,19.32%,19.40%,,19.47%,0.00%,0.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2019,17.21%,18.87%,19.01%,18.35%,19.20%,19.80%,19.78%,19.40%,,19.40%,0.00%,0.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
