Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,International Cocoa Price (US$/Tonne),2523.95,2508.84,2520.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,International Gold (US$/fine ounce) ,1867.04,1810.34,1722.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,International Brent Crude Oil(US$/Barrel),55.33,62.27,65.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,Indicative Petrol Price- (GHC/Litre) ,4.91,5.03,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,Indicative Diesel Price- (GHC/Litre) ,4.91,5.01,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,International Cocoa Price (US$/Tonne),2673.09,2825.90,2407.05,2324.29,2324.29,2324.82,2206.77,2482.14,2596.38,2423.55,2509.38,2581.32
2020,International Gold (US$/fine ounce) ,1560.74,1596.81,1590.59,1681.01,1681.01,1734.69,1843.17,1971.07,1924.47,1901.68,1867.87,1857.19
2020,International Brent Crude Oil(US$/Barrel),63.67,55.53,33.73,26.63,26.63,40.77,43.24,45.04,41.87,41.36,43.98,50.23
2020,Indicative Petrol Price- (GHC/Litre) ,5.39,5.40,5.14,4.09,4.09,4.40,4.68,4.71,4.66,4.59,4.58,4.64
2020,Indicative Diesel Price- (GHC/Litre) ,5.40,5.41,5.16,4.52,4.52,4.41,4.68,4.71,4.67,4.60,4.58,4.64
2019,International Cocoa Price (US$/Tonne),2318.19,2273.84,2202.48,2370.43,2365.77,2467.10,2456.86,2238.59,2375.80,2474.13,2589.55,2518.38
2019,International Gold (US$/fine ounce) ,1292.09,1319.95,1300.72,1286.24,1283.37,1296.94,1414.66,1501.01,1508.42,1494.31,1471.15,1481.33
2019,International Brent Crude Oil(US$/Barrel),60.23,64.50,67.05,71.66,70.30,63.05,64.19,59.47,62.29,59.63,62.71,65.17
2018,International Cocoa Price (US$/Tonne),1940.52,2109.42,2498.95,2663.52,2692.91,2435.71,2373.05,2208.39,2230.42,2138.91,2226.81,2256.25
2018,International Gold (US$/fine ounce) ,1331.70,1332.41,1325.71,1334.88,1303.03,1281.08,1238.30,1200.94,1198.14,1213.97,1220.81,1251.11
2018,International Brent Crude Oil(US$/Barrel),69.09,65.70,66.68,71.67,77.06,75.94,75.04,73.85,79.09,80.63,65.96,57.67
2017,International Cocoa Price (US$/Tonne),2180.18,2002.95,2036.39,1952.55,1952.74,1956.82,1929.38,1947.57,1970.29,2085.36,2123.68,1904.60
2017,International Gold (US$/fine ounce) ,1192.76,1233.80,1231.39,1270.01,1246.12,1261.76,1236.55,1283.40,1315.82,1280.62,1282.38,1266.56
