 ,Variables,
2018,Gross Domestic Product at Current Prices (GHC'M),300596.05
2018,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),289988.22
2018,Gross Domestic Product at Constant Prices (GHC'M),154547.67
2018,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),142867.24
2018,Gross Domestic Product Growth Rate (%),6.3
2018,Gross Domestic Product Growth Rate: Non Oil (%),6.49
2017,Gross Domestic Product at Current Prices (GHC'M),256671
2017,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),248226
2017,Gross Domestic Product at Constant Prices (GHC'M),145438
2017,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),134160
2017,Gross Domestic Product Growth Rate (%),8.1
2017,Gross Domestic Product Growth Rate: Non Oil (%),4.6
2016,Gross Domestic Product at Current Prices (GHC'M),215077
2016,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),214050
2016,Gross Domestic Product at Constant Prices (GHC'M),134486
2016,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),128232
2016,Gross Domestic Product Growth Rate (%),3.4
2016,Gross Domestic Product Growth Rate: Non Oil (%),4.6
2015,Gross Domestic Product at Current Prices (GHC'M),180399
2015,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),175707
2015,Gross Domestic Product at Constant Prices (GHC'M),130004
2015,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),122592
2015,Gross Domestic Product Growth Rate (%),2.2
2015,Gross Domestic Product Growth Rate: Non Oil (%),2.2
2014,Gross Domestic Product at Current Prices (GHC'M),155433
2014,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),146432
2014,Gross Domestic Product at Constant Prices (GHC'M),127233
2014,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),119966
2014,Gross Domestic Product Growth Rate (%),2.9
2014,Gross Domestic Product Growth Rate: Non Oil (%),2.7
2013,Gross Domestic Product at Current Prices (GHC'M),123650
2013,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),116847
2013,Gross Domestic Product at Constant Prices (GHC'M),123650
2013,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),116847
2013,Gross Domestic Product Growth Rate (%),7.4
2013,Gross Domestic Product Growth Rate: Non Oil (%),7.2
2012,Gross Domestic Product at Current Prices (GHC'M),99416
2012,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),92197
2012,Gross Domestic Product at Constant Prices (GHC'M),115149
2012,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),108977
2012,Gross Domestic Product Growth Rate (%),9.3
2012,Gross Domestic Product Growth Rate: Non Oil (%),8.7
2011,Gross Domestic Product at Current Prices (GHC'M),78958
2011,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),74142
2011,Gross Domestic Product at Constant Prices (GHC'M),105358
2011,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),100278
2011,Gross Domestic Product Growth Rate (%),14
2011,Gross Domestic Product Growth Rate: Non Oil (%),8.8
2010,Gross Domestic Product at Current Prices (GHC'M),60776
2010,Gross Domestic Product at Current Prices: Non-Oil (GHC'M),60549
2010,Gross Domestic Product at Constant Prices (GHC'M),92381
2010,Gross Domestic Product at Constant Prices: Non-Oil (GHC'M),92142
