Year,Variables,GHC'M
2020,Total Revenue & Grants (GHC'M),55132.25
2020,Tax Revenue (GHC'M),44452.26
2020,Taxes on Income and Property (GHC'M),23570.15
2020,Taxes on Domestic Goods and Services (GHC'M),15356.12
2020,Value Added Tax (VAT),8320.81
2020,Taxes on International Trade (GHC'M),8112.67
2020,Domestic Revenue,53903.55
2020,Compensation of Employees (GHC'M),28268.93
2020,Interest payments (GHC'M),24599.26
2020,Use of Goods and Services (GHC'M),7388.31
2020,Grants to Other Government Units (GHC'M),11881.96
2020,Non-Financial Assets (Capital Expenditure) (GHC'M),12082.87
2020,Total expenditure & net lending (GHC'M),96400.43
2020,Domestic Primary Balance (GHC'M),-12835.09
2020,Overall Budget Balance (incl. Divestiture and Discrepancy) (GHC'M),-44920.54
2020,External Debt (GHC'M),141796.83
2020,Domestic Debt (GHC'M),149833.89
2020,Total Public Debt (GHC'M),291630.72
2019,Total Revenue & Grants (GHC'M),53379.61
2019,Tax Revenue (GHC'M),42774.6
2019,Taxes on Income and Property (GHC'M),22683.1
2019,Taxes on Domestic Goods and Services (GHC'M),17151.66
2019,Value Added Tax (VAT),9330.1
2019,Taxes on International Trade (GHC'M),5410.01
2019,Domestic Revenue,52393.49
2019,Compensation of Employees (GHC'M),22219.03
2019,Interest payments (GHC'M),19769.26
2019,Use of Goods and Services (GHC'M),6169.6
2019,Grants to Other Government Units (GHC'M),11423.6
2019,Non-Financial Assets (Capital Expenditure) (GHC'M),6151.84
2019,Total expenditure & net lending (GHC'M),67856.11
2019,Domestic Primary Balance (GHC'M),6244.62
2019,Overall Budget Balance (incl. Divestiture and Discrepancy) (GHC'M),-16891.84
2019,External Debt (GHC'M),112747.72
2019,Domestic Debt (GHC'M),105481.22
2019,Total Public Debt (GHC'M),218228.94
2018,Total Revenue & Grants (GHC'M),47636.73
2018,Tax Revenue (GHC'M),37784.19
2018,Compensation of Employees (GHC'M),19612.04
2018,Interest payments (GHC'M),15821.82
2018,Non-Financial Assets (Capital Expenditure) (GHC'M),4738.33
2018,Total expenditure & net lending (GHC'M),58196.96
2018,Domestic Primary Balance (GHC'M),6928.25
