Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,Merchandise Exports (f.o.b) (In Million US$),1437.07,1364.50,1088.46,1249.01,1249.01,1177.81,1051.48,1182.25,1168.99,1218.87,1155.78,1298.16
2020,Cocoa Beans (In Million US$),322.38,236.96,180.42,119.78,119.78,66.44,22.10,10.36,2.47,21.46,160.86,226.93
2020,Gold (In Million US$),515.74,470.17,487.99,587.91,587.91,552.01,524.29,625.51,672.38,724.68,530.70,538.84
2020,Timber Products (In Million US$),10.18,9.40,9.93,6.07,6.07,7.67,12.78,13.14,16.85,12.73,12.87,15.95
2020,Crude oil (In Million US$),315.11,366.70,108.15,226.56,226.56,241.82,208.38,298.94,277.27,201.72,211.80,291.23
2020,Other Exports (In Million US$),273.67,281.26,301.98,308.69,308.69,309.85,283.93,234.30,200.02,258.28,239.55,225.21
2020,Merchandise Imports (f.o.b) (In Million US$),1128.18,882.37,1030.43,1091.77,1091.77,1247.02,932.91,948.21,970.65,1089.04,1191.33,905.88
2020,Non-Oil (In Million US$),913.06,722.72,854.60,972.83,972.83,1126.85,769.50,824.35,834.18,873.28,1021.91,741.01
2020,Oil & Gas (In Million US$),215.11,159.66,175.83,118.94,118.94,120.17,163.40,123.85,136.47,215.76,169.43,164.88
2020,Trade Balance (In Million US$),308.90,482.13,58.03,157.24,157.24,-69.21,118.58,234.04,198.34,129.83,-35.55,392.27
2019,Merchandise Exports (f.o.b) (In Million US$),1342.02,1323.24,1352.01,1324.21,1415.79,1288.09,1309.20,1208.67,1129.66,1268.32,1281.80,1404.35
2019,Cocoa Beans (In Million US$),215.52,211.46,200.96,135.89,92.65,77.73,14.93,1.70,1.00,20.94,117.56,293.93
2019,Gold (In Million US$),457.09,475.18,503.40,518.47,517.93,517.93,509.79,619.54,527.38,567.85,474.35,553.71
2019,Timber Products (In Million US$),13.88,18.07,15.51,12.14,15.06,12.88,14.03,18.08,15.69,15.28,11.97,10.98
2019,Crude oil (In Million US$),348.27,381.70,324.13,348.64,470.09,416.91,443.50,339.86,352.36,404.21,361.29,302.11
2019,Other Exports  (In Million US$),307.26,236.84,308.01,308.95,319.52,262.63,326.96,229.48,233.24,260.04,256.62,243.63
2019,Merchandise Imports (f.o.b) (In Million US$),1225.14,1002.21,1074.28,919.33,1266.05,1075.60,1280.82,1091.45,1043.92,1306.66,939.44,981.50
2019,Non-Oil (In Million US$),1032.66,782.65,801.93,743.29,1098.74,876.94,1082.71,942.30,897.50,1030.36,789.41,866.65
2019,Oil & Gas (In Million US$),192.49,194.38,199.47,176.04,167.31,198.66,198.11,149.16,146.42,276.29,150.04,114.85
2019,Trade Balance (In Million US$),116.88,346.21,331.27,404.88,149.74,212.49,28.38,117.21,85.74,-38.33,342.36,422.85
2018,Merchandise Exports (f.o.b) (In Million US$),1433.93,1291.72,1334.93,1382.67,1404.60,1009.69,1080.85,1207.67,1178.11,1214.39,1306.50,1097.65
2018,Cocoa Beans (In Million US$),232.69,254.93,178.73,137.87,81.43,60.83,30.02,16.20,12.92,18.61,168.36,213.86
2018,Gold (In Million US$),501.78,480.75,448.46,488.00,526.28,467.97,446.34,505.34,416.12,427.05,457.21,270.42
2018,Timber Products (In Million US$),23.61,19.23,20.44,22.46,19.57,19.50,14.61,19.05,13.81,16.21,16.53,16.44
2018,Crude oil (In Million US$),400.05,264.84,387.87,409.76,448.45,220.77,358.17,427.99,460.51,466.57,390.91,337.51
2018,Other Exports  (In Million US$),275.81,271.97,299.43,324.57,328.87,240.62,231.71,239.09,274.75,285.94,273.49,259.41
2018,Merchandise Imports (f.o.b) (In Million US$),1180.48,1031.85,1122.14,1080.89,1164.90,1019.82,1084.64,1066.22,1015.93,1161.64,1106.11,1099.44
2018,Non-Oil (In Million US$),969.67,855.75,848.63,834.77,915.21,866.91,862.15,900.94,815.30,858.29,941.91,883.63
2018,Oil & Gas (In Million US$),210.82,176.10,273.51,246.13,249.69,152.91,222.48,165.28,200.62,303.36,164.20,215.81
2018,Trade Balance (In Million US$),253.45,259.87,212.79,301.78,239.70,-10.13,-3.78,141.45,162.18,52.74,200.39,-1.80
2017,Merchandise Exports (f.o.b) (In Million US$),1306.12,1228.12,1420.13,1152.15,1146.94,944.77,896.32,1029.61,963.32,1051.08,1341.33,1355.12
