Trade Date,Share code,Closing Price vwap (GHS),Price change(GHS),Total shares traded,Total value traded (GHS)
04/01/2021,ACCESS,4.39,0,0,0
04/01/2021,ADB,5.06,0,0,0
04/01/2021,AGA,37,0,0,0
04/01/2021,ALW,0.11,0,60,6.6
04/01/2021,BOPP,2,0,210,420
04/01/2021,CAL,0.69,0,2282,1574.58
04/01/2021,CLYD,0.03,0,0,0
04/01/2021,CMLT,0.11,0,0,0
04/01/2021,CPC,0.03,0,0,0
04/01/2021,DASPHARMA,0.4,0,0,0
04/01/2021,EGH,7.2,0,0,0
04/01/2021,EGL,1.4,0,0,0
04/01/2021,ETI,0.08,0,226,18.08
04/01/2021,FML,1.08,0,16700,18036
04/01/2021,GCB,4.05,0,384,1555.2
04/01/2021,GGBL,0.9,0,71,63.9
04/01/2021,GOIL,1.5,0,6357,9535.5
04/01/2021,GSR,9.5,0,0,0
04/01/2021,MAC,5.98,0,0,0
04/01/2021,MLC,0.09,0,0,0
04/01/2021,MTNGH,0.64,0,14252420,9121549
04/01/2021,PBC,0.03,0,0,0
04/01/2021,RBGH,0.41,0,79,32.39
04/01/2021,SCB,16.31,0,0,0
04/01/2021,SIC,0.08,0,100,8
04/01/2021,SOGEGH,0.64,0,0,0
04/01/2021,SWL,0.05,0,0,0
04/01/2021,TBL,0.34,0,1199,407.66
04/01/2021,TOTAL,2.83,0,1889,5345.87
04/01/2021,TLW,11.92,0,0,0
04/01/2021,UNIL,8.29,0,0,0
04/01/2021,AADS,0.41,0,0,0
04/01/2021,SCB PREF,0.87,0,0,0
04/01/2021,GLD,105.5,0,0,0
04/01/2021,SAMBA,0.55,0,0,0
04/01/2021,MMH,0.11,0,0,0
04/01/2021,HORDS,0.1,0,0,0
04/01/2021,IIL,0.05,0,0,0
04/01/2021,DIGICUT,0.09,0,0,0
04/01/2021,TOTAL,,,14281977,9158552.78
05/01/2021,ACCESS,4.39,0,0,0
05/01/2021,ADB,5.06,0,0,0
05/01/2021,AGA,37,0,0,0
05/01/2021,ALW,0.11,0,0,0
05/01/2021,BOPP,2,0,0,0
05/01/2021,CAL,0.69,0,405450,279760.5
05/01/2021,CLYD,0.03,0,0,0
05/01/2021,CMLT,0.11,0,0,0
05/01/2021,CPC,0.03,0,0,0
05/01/2021,DASPHARMA,0.4,0,0,0
05/01/2021,EGH,7.2,0,51,367.2
05/01/2021,EGL,1.4,0,0,0
05/01/2021,ETI,0.08,0,0,0
05/01/2021,FML,1.08,0,0,0
05/01/2021,GCB,4.05,0,0,0
05/01/2021,GGBL,0.9,0,0,0
05/01/2021,GOIL,1.5,0,0,0
05/01/2021,GSR,9.5,0,0,0
05/01/2021,MAC,5.98,0,0,0
05/01/2021,MLC,0.09,0,0,0
05/01/2021,MTNGH,0.64,0,35945,23004.8
05/01/2021,PBC,0.03,0,0,0
05/01/2021,RBGH,0.41,0,0,0
05/01/2021,SCB,16.5,0.19,29181,481477
05/01/2021,SIC,0.08,0,0,0
05/01/2021,SOGEGH,0.64,0,0,0
05/01/2021,SWL,0.05,0,0,0
05/01/2021,TBL,0.34,0,0,0
05/01/2021,TOTAL,2.83,0,970,2745
05/01/2021,TLW,11.92,0,0,0
05/01/2021,UNIL,8.29,0,0,0
05/01/2021,AADS,0.41,0,0,0
05/01/2021,SCB PREF,0.87,0,0,0
05/01/2021,GLD,105.5,0,0,0
05/01/2021,SAMBA,0.55,0,0,0
05/01/2021,MMH,0.11,0,0,0
05/01/2021,HORDS,0.1,0,0,0
05/01/2021,IIL,0.05,0,0,0
05/01/2021,DIGICUT,0.09,0,0,0
05/01/2021,TOTAL,,,471597,787354.5
06/01/2021,ACCESS,4.39,0,0,0
06/01/2021,ADB,5.06,0,0,0
06/01/2021,AGA,37,0,0,0
06/01/2021,ALW,0.11,0,0,0
06/01/2021,BOPP,2,0,0,0
06/01/2021,CAL,0.69,0,11672,8053.68
06/01/2021,CLYD,0.03,0,0,0
06/01/2021,CMLT,0.11,0,0,0
06/01/2021,CPC,0.03,0,0,0
06/01/2021,DASPHARMA,0.4,0,0,0
