Trade Date,Currency,Pairs code,Buying,Selling,Mid Rate,
04-Jan-16,USD,USDGHS,3.7804,3.7841,3.7823,
04-Jan-16,Pound Sterling,GBPGHS,5.5655,5.5725,5.569,
04-Jan-16,Euro,EURGHS,4.098,4.1004,4.0992,
04-Jan-16,USD,USDGHS,4.2076,4.2118,4.2097,
04-Jan-16,Pound Sterling,GBPGHS,5.1669,5.1763,5.1716,
04-Jan-16,Euro,EURGHS,4.4019,4.4069,4.4044,
05-Jan-16,USD,USDGHS,3.79,3.7938,3.7919,
05-Jan-16,Pound Sterling,GBPGHS,5.5618,5.5693,5.5656,
05-Jan-16,Euro,EURGHS,4.0743,4.0777,4.076,
06-Jan-16,USD,USDGHS,3.7948,3.7986,3.7967,
06-Jan-16,Pound Sterling,GBPGHS,5.5488,5.5562,5.5525,
06-Jan-16,Euro,EURGHS,4.0785,4.0821,4.0803,
06-Jan-16,Pound Sterling,GBPGHS,5.1928,5.2001,5.1965,
06-Jan-16,Euro,EURGHS,4.4474,4.4506,4.449,
07-Jan-16,USD,USDGHS,3.795,3.7988,3.7969,
07-Jan-16,Pound Sterling,GBPGHS,5.538,5.5459,5.542,
07-Jan-16,Euro,EURGHS,4.12,4.1249,4.1225, 
08-Jan-16,USD,USDGHS,3.7967,3.8005,3.7986,
08-Jan-16,Pound Sterling,GBPGHS,5.5291,5.5362,5.5327,
08-Jan-16,Euro,EURGHS,4.137,4.1398,4.1384,
09-Jan-16,USD,USDGHS,4.2141,4.2183,4.2162,
09-Jan-16,Pound Sterling,GBPGHS,5.1142,5.1214,5.1178,
09-Jan-16,Euro,EURGHS,4.436,4.4411,4.4386,
11-Jan-16,USD,USDGHS,3.7871,3.7908,3.789,
11-Jan-16,Pound Sterling,GBPGHS,5.5087,5.516,5.5124,
11-Jan-16,Euro,EURGHS,4.1141,4.1189,4.1165,
12-Jan-16,USD,USDGHS,3.7972,3.801,3.7991,
12-Jan-16,Pound Sterling,GBPGHS,5.4642,5.4715,5.4679,
12-Jan-16,Euro,EURGHS,4.1199,4.1229,4.1214,
13-Jan-16,USD,USDGHS,3.7995,3.8033,3.8014,
13-Jan-16,Pound Sterling,GBPGHS,5.4831,5.4901,5.4866,
13-Jan-16,Euro,EURGHS,4.1248,4.1269,4.1259,
14-Jan-16,USD,USDGHS,3.8041,3.8079,3.806,
14-Jan-16,Pound Sterling,GBPGHS,5.484,5.491,5.4875,
14-Jan-16,Euro,EURGHS,4.1514,4.1545,4.153,
15-Jan-16,USD,USDGHS,3.8064,3.8102,3.8083,
15-Jan-16,Pound Sterling,GBPGHS,5.4454,5.452,5.4487,
15-Jan-16,Euro,EURGHS,4.1696,4.174,4.1718,
18-Jan-16,USD,USDGHS,3.8064,3.8102,3.8083,
18-Jan-16,Pound Sterling,GBPGHS,5.4352,5.4429,5.4391,
18-Jan-16,Euro,EURGHS,4.1483,4.1514,4.1499,
19-Jan-16,USD,USDGHS,3.8124,3.8162,3.8143,
19-Jan-16,Pound Sterling,GBPGHS,5.3904,5.3976,5.394,
19-Jan-16,Euro,EURGHS,4.1535,4.1562,4.1549,
20-Jan-16,USD,USDGHS,3.8127,3.8165,3.8146,
20-Jan-16,Pound Sterling,GBPGHS,5.4133,5.4198,5.4166,
20-Jan-16,Euro,EURGHS,4.1532,4.1553,4.1543,
21-Jan-16,USD,USDGHS,3.8129,3.8167,3.8148,
21-Jan-16,Pound Sterling,GBPGHS,5.3819,5.3884,5.3852,
21-Jan-16,Euro,EURGHS,4.1298,4.1316,4.1307,
22-Jan-16,USD,USDGHS,3.8176,3.8214,3.8195,
22-Jan-16,Pound Sterling,GBPGHS,5.4794,5.486,5.4827,
22-Jan-16,Euro,EURGHS,4.1264,4.1307,4.1286,
25-Jan-16,USD,USDGHS,3.8226,3.8264,3.8245,
25-Jan-16,Pound Sterling,GBPGHS,5.4472,5.4538,5.4505,
25-Jan-16,Euro,EURGHS,4.1408,4.1433,4.1421,
26-Jan-16,USD,USDGHS,3.827,3.8308,3.8289,
26-Jan-16,Pound Sterling,GBPGHS,5.4581,5.4646,5.4614,
26-Jan-16,Euro,EURGHS,4.1443,4.1468,4.1456,
27-Jan-16,USD,USDGHS,3.8291,3.833,3.8311,
27-Jan-16,Pound Sterling,GBPGHS,5.4833,5.4998,5.4916,
27-Jan-16,Euro,EURGHS,4.1711,4.1742,4.1727,
28-Jan-16,USD,USDGHS,3.8291,3.833,3.8311,
28-Jan-16,Pound Sterling,GBPGHS,5.4909,5.4981,5.4945,
28-Jan-16,Euro,EURGHS,4.1813,4.1836,4.1825,
02-Feb-16,USD,USDGHS,3.8428,3.8466,3.8447,
02-Feb-16,Pound Sterling,GBPGHS,5.5359,5.5422,5.5391,
03-Feb-16,USD,USDGHS,3.8448,3.8496,3.8472,
03-Feb-16,Pound Sterling,GBPGHS,5.5911,5.5993,5.5952,
03-Feb-16,Euro,EURGHS,4.2528,4.2564,4.2546,
04-Feb-16,USD,USDGHS,3.8506,3.8545,3.8526,
04-Feb-16,Pound Sterling,GBPGHS,5.6138,5.621,5.6174,
04-Feb-16,Euro,EURGHS,4.3014,4.3053,4.3034,
05-Feb-16,USD,USDGHS,3.8506,3.8545,3.8526,
